action	step	sched	root	A_8	A_62	A_7	A_63	A_72	A_2	A_82	A_73	A_6	A_24	A_4	A_1	A_3	a4	a92	a112	a73	a7	a2	a5	a1	a24	a6	a54	a72	a63	a93	a8	a102	a62	a82	a103	state_reward1	transition_reward1	state_reward2	transition_reward2
-	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	10	0	0
[a112]	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	20
[c82]	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	30	0	0
[a102]	3	2	0	0	0	0	0	1	0	2	0	0	0	0	0	1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	0	0	0	40
[c72]	4	1	0	0	0	0	0	2	0	2	0	0	0	0	0	1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	0	30	0	0
[a103]	5	2	0	0	0	0	0	2	0	2	1	0	0	0	0	1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	40
[c73]	6	1	0	0	0	0	0	2	0	2	2	0	0	0	0	1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	0	100	0	0
[a92]	7	2	0	0	1	0	0	2	0	2	2	0	0	0	0	1	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	30
[c62]	8	1	0	0	2	0	0	2	0	2	2	0	0	0	0	1	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	0	100	0	0
[a93]	9	2	0	0	2	0	1	2	0	2	2	0	0	0	0	1	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	30
[c63]	10	1	0	0	2	0	2	2	0	2	2	0	0	0	0	1	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	0	500	0	0
[a5]	11	2	0	0	2	0	2	2	1	2	2	0	0	0	0	1	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	70
[c3]	12	1	0	0	2	0	2	2	1	2	2	0	0	0	0	2	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	0	500	0	5000
[a2]	13	2	1	0	2	0	2	2	1	2	2	0	0	0	0	2	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	0	?	0	?
